Word,Meaning
oh,"Expression of surprise."
yes,"Used to express pleasure, joy, or great excitement."
mm,"Alternative form of mmm"
ah,"An expression of relief, relaxation, comfort, confusion, understanding, wonder, awe, etc. according to uttered inflection."
mhm,yes
aye,"yes; yea; a word expressing assent, or an affirmative answer to a question."
ooh,"An expression of surprise."
hello,"A greeting (salutation) said when meeting someone or acknowledging someone’s arrival or presence."
eh,"(informal UK Australia Canada US) Used as a tag question, to emphasise what goes before or to request that the listener express an opinion about what has been said."
aha,"An exclamation of understanding, realization, invention, or recognition."
hey,"An exclamation to get attention."
bye,"(colloquial) Goodbye."
goodbye,"Farewell; a formula used to another person or persons when the speaker, writer, or person addressed is departing."
um,"Expression of confusion or space filler in conversation. See uh."
hmm,"Indicating thinking or pondering."
alas,"Used to express sorrow, regret, compassion or grief."
cor,"(Cockney _ UK) Expression of surprise."
huh,"(with falling pitch) used to express amusement or subtle surprise."
ee,"(Northern England) eh"
wow,"An indication of excitement, surprise, astonishment, or pleasure."
hm,"Alternative form of hmm"
urgh,"Alternative form of eurgh"
blah,"An expression of mild frustration."
oi,"Said to get someone's attention; hey."
ho,"(nautical) Used to attract attention to something sighted, usually by lookouts."
shh,"Requesting silence."
gosh,"(minced oath) A mild expression of surprise or enthusiasm as to be put in place of God, particularly in fear of saying the Lord’s name in vain."
amen,"An expression of strong agreement."
damn,"(profane) Used to express anger, irritation, disappointment, annoyance, contempt, etc. See also 'dammit'."
ay,"Ah! alas!"
uh,"Expression of confusion or uncertainty."
ow,"Synonym of ouch"
gee,"A general exclamation of surprise or frustration."
nay,"(Archaic) no"
cheerio,"(British Ireland New Zealand Australia informal) a greeting or parting"
aah,"Indication of amazement or surprise or enthusiasm."
nah,"Eye dialect of no"
och,"(chiefly Scotland Ireland) general interjection of confirmation, affirmation, and often disapproval."
blimey,"(UK Australia New Zealand) Expressing anger, surprise, excitement, etc."
mmm,"(onomatopoeia) An expression used to show contentment for something"
ugh,"Used to express repugnance, disgust, or annoyance."
oops,"(colloquial) Acknowledging a mistake."
aargh,"Alternative form of argh"
yo,"(slang) A greeting similar to hi."
umm,"Interjection implying hesitation; see um."
hooray,"Used to express approval, joy or victory."
aw,"Used to express disappointment/dismay."
