Word,Meaning,obsolete
it,"The third-person singular personal pronoun that is normally used to refer to an inanimate object, also often used to refer to animals.",0
you,"(object pronoun) The people spoken, or written to, as an object.",0
he,(personal) A male person or animal already known or implied.,0
which,(interrogative) What one or ones (of those mentioned or implied).,0
she,(personal) The female person or animal previously mentioned or implied.,0
we,"(personal) The speakers/writers, or the speaker/writer and at least one other person (not the person being addressed). (This is the exclusive we.)",0
her,"The form of she used after a preposition or as the object of a verb; that woman, that ship, etc.",0
there,"Used as an expletive subject of be in its sense of exist, with the semantic, usually indefinite subject being postponed or (occasionally) implied.",0
what,"(interrogative) Which thing, event, circumstance, etc.: used interrogatively in asking for the specification of an identity, quantity, quality, etc.",0
who,(interrogative) What person or people; which person or people; asks for the identity of someone. (used in a direct or indirect question),0
them,Objective case of they: third personal plural pronoun used after a preposition or as the object of a verb.,0
him,A masculine pronoun; he as a grammatical object.,0
me,As the direct object of a verb.,0
one,(impersonal pronoun) One thing (among a group of others); one member of a group.,0
us,(personal) Me and at least one other person; the objective case of 'we'.,0
something,An uncertain or unspecified thing; one thing.,0
nothing,Not any thing; no thing.,0
himself,(reflexive) Him; the male object of a verb or preposition that also appears as the subject,0
anything,"Any object, act, state, event, or fact whatever; thing of any kind; something or other; aught.",0
itself,(reflexive) it; A thing as the object of a verb or preposition that also appears as the subject,0
themselves,"The reflexive case of 'they', the third-person plural personal pronoun. The group of people, animals or objects previously mentioned, as the object of a verb or following a preposition (also used for emphasis).",0
whose,"(interrogative) Of whom, belonging to whom.",0
someone,Some person.,0
everything,(literally) All the things under discussion.,0
herself,(reflexive) Her; the female object of a verb or preposition that also appears as the subject.,0
anyone,Any person; anybody.,0
whatever,No matter what; for any,0
everyone,Every person.,0
whom,"What person or people; which person or people, as the object of a verb.",0
myself,"(reflexive) Me, as direct or indirect object the speaker as the object of a verb or preposition, when the speaker is also the subject.",0
yourself,(reflexive) Your own self (singular).,0
none,"Not any of a given number or group, particularly:",0
somebody,Some unspecified person.,0
everybody,All people.,0
nobody,Not any person; the logical negation of somebody.,0
anybody,Any one out of an indefinite number of persons; anyone; any person.,0
plenty,More than enough.,0
mine,My; belonging to me; that which belongs to me.,0
ourselves,(reflexive) Us; the group including the speaker as the object of a verb or preposition when that group also is the subject.,0
yours,That which belongs to you (singular); the possessive second-person singular pronoun used without a following noun.,0
no-one,Alternative form of no one,0
ours,"That which belongs to us; the possessive case of we, used without a following noun.",0
ye,(archaic outside Northern England Cornwall Ireland) You (the people being addressed).,0
yer,(UK slang or dialectal uncommon) Eye dialect of you,0
theirs,"That which belongs to them; the possessive case of they, used without a following noun.",0
whatsoever,(obsolete) whatever,1
whichever,Any one or a number of a group.,0
thou,"(archaic literary religious ceremonial, or dialectal) you singular nominative case",0
oneself,"The person, previously mentioned.",0
nought,Nothing; zero.,0
summat,(British Northern England Yorkshire) Something.,0
'im,(colloquial) Representing a pronunciation of 'him' that drops the h.,0
em,"(neologism) them (singular). Gender-neutral third-person singular object pronoun, coordinate with him and her.",0
'er,Eye dialect of her,0
he/she,"He or she; singular of they, used as a gender-neutral reference to the third person singular.",0
yu,Eye dialect of you,0
nowt,"(Northern England) Naught, nothing.",0
ah,"Eye dialect of I#Pronoun, most often indicating that the speaker is using a Scottish or American (particularly Southern) accent.",0
'is,Eye dialect of his,0
owt,"(Northern England) aught, anything",0
meself,(slang or dialectal UK) Alternative form of myself,0
dem,nonstandard form of them,0
nothin',Eye dialect of nothing,0
'un,(colloquial) one (a thing).,0
naught,(Archaic) Nothing.,0
somethin',informal spelling of something,0
thine,(Archaic) Singular second person possessive pronoun.,0
aught,"anything whatever, any part.",0
yerself,(nonstandard or dialectal) Alternative form of yourself,0
thyself,(archaic literary dialectal) yourself (as the object of a verb or preposition or as an intensifier); reflexive case of thou,0
she/he,"She or he; singular of they, used as a gender-neutral reference to the third person singular.",0
somewhat,(Archaic) Something.,0
theirselves,(nonstandard) Alternative form themselves,0
nuffink,Eye dialect of nothing,0
ourself,"The reflexive of the editorial or royal we; myself as used by a writer or speaker who would refer to himself in the nominative case as we. (Normally, the reflexive case of we is ourselves).",0
whomsoever,"whichever person, whomever",0
dere,pronunciation spelling of there,0
anythin',informal spelling of anything,0
whomever,Objective case of whoever.,0
themself,"The reflexive form of 'they', the third-person singular personal pronoun. The single person previously mentioned, as the object of a verb or following a preposition (also used for emphasis).",0
dey,Eye dialect of they,0
youse,Alternative form of yous,0
whosoever,whichever person; whoever,0
theirself,(nonstandard) Alternative form of themself.,0
you-know-who,Person or entity whose name one does not want to mention but which is known to the person to whom one is speaking.,0
hisself,(nonstandard now _ chiefly dialect) Variant form himself,0
hirself,"(neologism reflexive) hir, themself; Gender-neutral third-person singular object of a verb or preposition that also appears as the subject, coordinate with gendered himself and herself.",0
everythin',Alternative form of everything,0
